100	0	264600
100	132300	396900
1000	0	264600
1000	132300	396900
1001	0	264600
1001	132300	396900
1002	0	264600
1002	132300	396900
1003	0	264600
1003	132300	396900
1004	0	264600
1004	132300	396900
1005	0	264600
1005	132300	396900
1006	0	264600
1006	132300	396900
1007	0	264600
1007	132300	396900
1008	0	264600
1008	132300	396900
1009	0	264600
1009	132300	396900
101	0	264600
101	132300	396900
1010	0	264600
1010	132300	396900
1011	0	264600
1011	132300	396900
1012	0	264600
1012	132300	396900
1013	0	264600
1013	132300	396900
1014	0	264600
1014	132300	396900
1015	0	264600
1015	132300	396900
1016	0	264600
1016	132300	396900
1017	0	264600
1017	132300	396900
1018	0	264600
1018	132300	396900
1019	0	264600
1019	132300	396900
102	0	264600
102	132300	396900
1020	0	264600
1020	132300	396900
1021	0	264600
1021	132300	396900
1022	0	264600
1022	132300	396900
1023	0	264600
1023	132300	396900
1024	0	264600
1024	132300	396900
1025	0	264600
1025	132300	396900
1026	0	264600
1026	132300	396900
1027	0	264600
1027	132300	396900
1028	0	264600
1028	132300	396900
1029	0	264600
1029	132300	396900
103	0	264600
103	132300	396900
1030	0	264600
1030	132300	396900
1031	0	264600
1031	132300	396900
1032	0	264600
1032	132300	396900
1033	0	264600
1033	132300	396900
1034	0	264600
1034	132300	396900
1035	0	264600
1035	132300	396900
1036	0	264600
1036	132300	396900
1037	0	264600
1037	132300	396900
1038	0	264600
1038	132300	396900
1039	0	264600
1039	132300	396900
104	0	264600
104	132300	396900
1040	0	264600
1040	132300	396900
1041	0	264600
1041	132300	396900
1042	0	264600
1042	132300	396900
1043	0	264600
1043	132300	396900
1044	0	264600
1044	132300	396900
1045	0	264600
1045	132300	396900
1046	0	264600
1046	132300	396900
1047	0	264600
1047	132300	396900
1048	0	264600
1048	132300	396900
1049	0	264600
1049	132300	396900
105	0	264600
105	132300	396900
1050	0	264600
1050	132300	396900
1051	0	264600
1051	132300	396900
1052	0	264600
1052	132300	396900
1053	0	264600
1053	132300	396900
1054	0	264600
1054	132300	396900
1055	0	264600
1055	132300	396900
1056	0	264600
1056	132300	396900
1057	0	264600
1057	132300	396900
1058	0	264600
1058	132300	396900
1059	0	264600
1059	132300	396900
106	0	264600
106	132300	396900
1060	0	264600
1060	132300	396900
1061	0	264600
1061	132300	396900
1062	0	264600
1062	132300	396900
1063	0	264600
1063	132300	396900
1064	0	264600
1064	132300	396900
1065	0	264600
1065	132300	396900
1066	0	264600
1066	132300	396900
1067	0	264600
1067	132300	396900
1068	0	264600
1068	132300	396900
1069	0	264600
1069	132300	396900
107	0	264600
107	132300	396900
1070	0	264600
1070	132300	396900
1071	0	264600
1071	132300	396900
1072	0	264600
1072	132300	396900
1073	0	264600
1073	132300	396900
1074	0	264600
1074	132300	396900
1075	0	264600
1075	132300	396900
1076	0	264600
1076	132300	396900
1077	0	264600
1077	132300	396900
1078	0	264600
1078	132300	396900
1079	0	264600
1079	132300	396900
108	0	264600
108	132300	396900
1080	0	264600
1080	132300	396900
1081	0	264600
1081	132300	396900
1082	0	264600
1082	132300	396900
1083	0	264600
1083	132300	396900
1084	0	264600
1084	132300	396900
1085	0	264600
1085	132300	396900
1086	0	264600
1086	132300	396900
1087	0	264600
1087	132300	396900
1088	0	264600
1088	132300	396900
1089	0	264600
1089	132300	396900
109	0	264600
109	132300	396900
1090	0	264600
1090	132300	396900
1091	0	264600
1091	132300	396900
1092	0	264600
1092	132300	396900
1093	0	264600
1093	132300	396900
1094	0	264600
1094	132300	396900
1095	0	264600
1095	132300	396900
1096	0	264600
1096	132300	396900
1097	0	264600
1097	132300	396900
1098	0	264600
1098	132300	396900
1099	0	264600
1099	132300	396900
110	0	264600
110	132300	396900
1100	0	264600
1100	132300	396900
1101	0	264600
1101	132300	396900
1102	0	264600
1102	132300	396900
1103	0	264600
1103	132300	396900
1104	0	264600
1104	132300	396900
